insert into exercises (exercise_id, name, notes, primary_muscle_tag, secondary_muscle_tag, category, created_at, update_at) values ('d8f3b313-d952-4c0b-993a-d3496eb56aaf', 'in libero ut', null, 'chest', null, 'time', '1669186422', '1669334400'),
('d2286c12-7e9e-4936-b0b4-28a3d150704f', 'nec condimentum neque', 'pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus', 'quadriceps', null, 'weights_and_reps', '1669184308', '1669334400'),
('00b95f30-abd7-4045-ac73-12a5a1088f94', 'platea dictumst', 'nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue', 'calves', null, 'reps', '1669163030', '1669334400'),
('eb82b27c-e370-4e25-983c-d59028eb0e67', 'luctus et ultrices posuere', 'eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a', 'biceps', null, 'distance_and_time', '1669193275', '1669334400'),
('81872a88-1af8-4fc6-9e41-701ab7174c07', 'ornare', 'lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget', '1	abductors', null, 'reps', '1669179145', '1669334400'),
('30e21397-6ff3-47f4-9803-c332153f8e88', 'cursus', 'justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros', 'chest', null, 'distance_and_time', '1669194779', '1669334400'),
('2ba20938-c130-48be-813b-9564d94861a3', 'eu massa donec', 'vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem', 'chest', null, 'reps', '1669168745', '1669334400'),
('7ce6e090-3675-4fcd-b50e-c309e51e41da', 'porttitor lacus at turpis', 'massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis', 'abs', null, 'reps', '1669198614', '1669334400'),
('8a8f32bc-eb1a-49b4-a558-69c66fc70a70', 'sed vel', 'montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci', 'hamstrings', null, 'time', '1669231950', '1669334400'),
('350a6600-ab40-45be-854c-7c6a2d550b9f', 'justo in blandit', 'vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum', 'quadriceps', null, 'distance_and_time', '1669171465', '1669334400'),
('5d2e99af-6dba-4f80-a18b-fc63fbb27668', 'ligula sit', null, 'traps', null, 'distance_and_time', '1669167870', '1669334400'),
('24c79e49-f570-4e95-961c-6b5ff94df121', 'pellentesque ultrices', 'dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim', '1	abductors', null, 'reps', '1669207129', '1669334400'),
('42ad6f6d-8b5b-46ec-a88b-8231cbaf2cfe', 'neque duis', 'sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus', 'back', null, 'reps', '1669180492', '1669334400'),
('ae8c94ea-c2a3-4ded-b307-2b2d5cfb078a', 'pretium iaculis diam erat', null, '1	abductors', null, 'weights_and_reps', '1669246299', '1669334400'),
('c619e6cc-233c-4fc9-adbe-f591a01fb316', 'erat quisque', 'luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer', 'lats', null, 'time', '1669163599', '1669334400'),
('9bd72aff-bc78-47ac-9a9b-a2febb384fe6', 'ligula pellentesque ultrices', null, '1	abductors', null, 'distance_and_time', '1669212686', '1669334400'),
('5ccb4dfd-d319-4fc8-a542-ab4f4e7dc628', 'donec diam neque', null, 'shoulders', null, 'weights_and_reps', '1669163757', '1669334400'),
('4539d344-d6f3-45f4-ac7b-16cb558c863c', 'in', 'nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla', 'quadriceps', null, 'reps', '1669174658', '1669334400'),
('30a658b7-cff7-4338-816f-fd42d27c0784', 'cras', 'venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo', '1	abductors', null, 'weights_and_reps', '1669210573', '1669334400'),
('3f335b28-8aa2-4bad-9df0-1f96c192db7f', 'nulla', null, 'shoulders', null, 'reps', '1669166341', '1669334400'),
('deee66b8-c0b8-4e2b-9405-470c17f034ad', 'placerat', null, 'body', null, 'reps', '1669234621', '1669334400'),
('22b8010f-f04a-4aa8-9d79-bace168a5045', 'nulla justo aliquam quis', null, 'triceps', null, 'distance_and_time', '1669238435', '1669334400'),
('5db5666f-650f-4d57-b163-eb51cd87e9a3', 'dictumst', null, 'lats', null, 'time', '1669213882', '1669334400'),
('2c7b8c5d-fdfb-44c9-b201-d1ad3389678a', 'erat fermentum', 'ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec', 'back', null, 'distance_and_time', '1669190409', '1669334400'),
('bfe2d268-2153-4281-af73-f42a85e76c66', 'velit', null, 'calves', null, 'reps', '1669169552', '1669334400'),
('c07b245d-22f6-4a96-9fc8-3f6c2ad5ba0c', 'morbi sem', null, 'calves', null, 'distance_and_time', '1669211155', '1669334400'),
('35838751-7af8-4245-80af-e26601b2534f', 'aliquam non mauris', 'ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla', 'back', null, 'weights_and_reps', '1669215348', '1669334400'),
('ac82d1e0-7649-4231-9e71-10862ee24cd0', 'sit amet sem fusce', 'sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam', 'forearms', null, 'time', '1669171217', '1669334400'),
('a0a1f45e-0a18-459b-bf2b-36ac2605cd6b', 'dolor', 'odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt', 'calves', null, 'reps', '1669165704', '1669334400'),
('e188cc0f-0018-40c2-bd0b-7a7956f45071', 'nullam molestie', null, 'body', null, 'time', '1669231846', '1669334400'),
('aeb4f13c-391b-4dad-9681-efc168a9eee4', 'ligula suspendisse ornare', null, 'quadriceps', null, 'reps', '1669195198', '1669334400'),
('99851ad7-a34e-4c8a-ab9c-a5ea35ec8551', 'praesent lectus', null, 'lats', null, 'weights_and_reps', '1669175304', '1669334400'),
('2266c15f-97c0-4143-b1b3-c3db7c3bfc49', 'leo pellentesque ultrices mattis', null, 'shoulders', null, 'weights_and_reps', '1669172974', '1669334400'),
('f1bc2d39-8a3e-4c93-8278-f1b6b682402c', 'massa id', 'vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio', 'cardio', null, 'time', '1669194282', '1669334400'),
('c1eb2415-a67f-4b7b-9e3e-8ee0700ad6a5', 'vivamus vestibulum sagittis', null, 'body', null, 'weights_and_reps', '1669161939', '1669334400'),
('5f9ad810-fe27-4504-81e9-230ed449da54', 'venenatis', 'cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue', 'calves', null, 'reps', '1669240080', '1669334400'),
('7bd2ac0b-0078-42cf-875d-a75e248718cf', 'aliquam erat volutpat', 'condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac', 'chest', null, 'reps', '1669229020', '1669334400'),
('9f2deba0-4961-49d6-a35b-024334e865be', 'enim lorem ipsum dolor', 'ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus', 'body', null, 'weights_and_reps', '1669220965', '1669334400'),
('badc999d-9cd2-4979-8d9a-2263ed3b12eb', 'non quam', 'pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam', 'body', null, 'reps', '1669246417', '1669334400'),
('dc13e97a-8fbf-481e-88b5-2eab5d6ca272', 'mattis', 'mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla', 'triceps', null, 'distance_and_time', '1669196212', '1669334400'),
('ff0308b7-aa4a-4323-a064-fee99ef98c34', 'tortor risus', 'sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit', 'triceps', null, 'distance_and_time', '1669165430', '1669334400'),
('e33aa899-a0d5-4bc6-8e1a-b5431112e703', 'in leo', 'in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas', 'chest', null, 'weights_and_reps', '1669241053', '1669334400'),
('dc47551d-e5c2-4df9-8344-2bdd0ddd1736', 'vel augue vestibulum rutrum', 'sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci', 'hamstrings', null, 'weights_and_reps', '1669164769', '1669334400'),
('c2d78d21-7d20-44d1-93bf-55e8ebe9a89c', 'dapibus augue vel accumsan', 'natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis', 'cardio', null, 'reps', '1669228521', '1669334400'),
('c223cc24-2cde-4705-9b3c-d5d861efa891', 'turpis', 'odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet', 'abs', null, 'time', '1669197063', '1669334400'),
('0d216ad5-5fa8-4d99-af81-4d420155c30e', 'amet consectetuer adipiscing elit', 'lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut', 'traps', null, 'distance_and_time', '1669186142', '1669334400'),
('caa39e2b-2a5e-4e67-bc6e-426052d6e4ff', 'rhoncus mauris', null, 'glutes', null, 'time', '1669195937', '1669334400'),
('5d631426-4412-4f15-ae8f-989bada8befa', 'orci', 'ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices', 'chest', null, 'distance_and_time', '1669213993', '1669334400'),
('d4bb623e-0629-491c-bd75-caebca826198', 'luctus', 'sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum', 'lats', null, 'reps', '1669184230', '1669334400'),
('be13b20b-6f69-4038-bf4b-095a7a0cde57', 'potenti in eleifend quam', null, 'traps', null, 'time', '1669166498', '1669334400'),
('8869726d-5a82-40a8-a989-61421fd6c22e', 'sapien', null, 'shoulders', null, 'time', '1669195743', '1669334400'),
('d5745cfb-55fe-45e1-94c3-a194074a4ef4', 'nullam porttitor', 'donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat', '1	abductors', null, 'time', '1669203015', '1669334400'),
('769ec616-7417-486d-a6f7-970c6d280ef4', 'ultrices', null, 'glutes', null, 'weights_and_reps', '1669219306', '1669334400'),
('341fc0ce-3813-4c74-bdf5-30e9f938528e', 'mattis odio donec', null, 'back', null, 'weights_and_reps', '1669189635', '1669334400'),
('3caec36a-3880-4e36-ae4f-554dc2c78b4f', 'odio curabitur convallis', null, 'back', null, 'reps', '1669179902', '1669334400'),
('e04c29c5-a800-4012-883f-6e996eea28e5', 'pulvinar sed', null, 'hamstrings', null, 'reps', '1669244071', '1669334400'),
('e0be082b-452a-4098-b539-a7c11ab005b2', 'velit eu est', null, 'lats', null, 'weights_and_reps', '1669176050', '1669334400'),
('fd407509-515d-49a7-8ac5-96c5c498d69d', 'quam', null, 'hamstrings', null, 'time', '1669172201', '1669334400'),
('aeb2a409-9de8-4535-9eda-c724377c2036', 'convallis nulla neque libero', 'sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa', 'glutes', null, 'time', '1669234800', '1669334400'),
('58e9770a-c4ea-4bdb-9b36-25e0643b0808', 'cum sociis natoque penatibus', null, 'glutes', null, 'reps', '1669192108', '1669334400'),
('7252d4e5-9dc2-4d9a-927a-f11ff5f8c462', 'vestibulum ante ipsum primis', null, 'abs', null, 'distance_and_time', '1669189031', '1669334400'),
('019d4480-7170-459a-82f0-166d089e5062', 'eget eleifend luctus', null, 'hamstrings', null, 'distance_and_time', '1669241074', '1669334400'),
('6f0ee75f-ffbc-4acc-91f0-0ebd42535b15', 'quis orci nullam molestie', null, 'abs', null, 'weights_and_reps', '1669228296', '1669334400'),
('e8e345fd-1162-4241-9add-1f516f513527', 'posuere cubilia curae', null, 'body', null, 'weights_and_reps', '1669229259', '1669334400'),
('d4bca2fe-fe82-4432-91df-aa53c6c4297a', 'in quam fringilla', null, 'quadriceps', null, 'reps', '1669184030', '1669334400'),
('27dfe52f-522f-492a-afba-653ceb8e5dec', 'nulla pede', 'erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in', 'back', null, 'reps', '1669227725', '1669334400'),
('77cdb031-58f3-42ca-8f16-fbcbb59dd46d', 'posuere cubilia', 'massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna', 'body', null, 'distance_and_time', '1669237383', '1669334400'),
('61931566-62c9-4256-91b7-52a874958916', 'diam erat fermentum justo', null, 'abs', null, 'reps', '1669233726', '1669334400'),
('16183ba8-62a9-4c8c-bfe6-3912440ba955', 'praesent', 'nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit', 'back', null, 'reps', '1669211035', '1669334400'),
('4f10c642-50c3-4a42-9866-cca18e9f0aba', 'ac leo pellentesque', null, 'cardio', null, 'time', '1669185174', '1669334400'),
('b2246e19-72be-43e5-b36f-e586fda1edcc', 'gravida sem praesent id', 'sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede', 'forearms', null, 'distance_and_time', '1669192429', '1669334400'),
('8f8e05ae-3e42-462f-83be-c146becfd97d', 'etiam pretium iaculis justo', null, 'forearms', null, 'distance_and_time', '1669199064', '1669334400'),
('4825a411-99a6-489e-89e2-065badebeec2', 'tortor eu', null, 'body', null, 'distance_and_time', '1669206504', '1669334400'),
('7b50fde1-8206-48ce-a478-870f1bfdf930', 'consectetuer adipiscing elit', 'vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac', 'shoulders', null, 'time', '1669162820', '1669334400'),
('06fdc326-7f81-41c5-9599-ccf5f46972db', 'tellus', 'vestibulum sed magna at nunc commodo placerat praesent blandit nam', 'body', null, 'reps', '1669232478', '1669334400'),
('0cac7772-9f75-4c54-a0f9-b7e9f33673db', 'aenean auctor gravida sem', null, 'glutes', null, 'weights_and_reps', '1669212471', '1669334400'),
('19a6a3b9-b180-4988-8ac6-159219d2b021', 'magna ac consequat metus', 'rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero', 'chest', null, 'distance_and_time', '1669228929', '1669334400'),
('196b1c98-7604-4d2d-bb61-8102db3e370f', 'curabitur at', null, 'calves', null, 'distance_and_time', '1669182638', '1669334400'),
('db6d6528-f9b1-4095-af4d-12eb89287c4e', 'viverra eget', null, 'chest', null, 'weights_and_reps', '1669229049', '1669334400'),
('340fabc5-583e-4b02-838c-24a535d64bab', 'pharetra magna ac', 'non interdum in ante vestibulum ante ipsum primis in faucibus orci', 'forearms', null, 'time', '1669207669', '1669334400'),
('d7f26541-fb07-4395-9ff6-2e8962cae937', 'pellentesque', null, 'forearms', null, 'reps', '1669245819', '1669334400'),
('2dee0f19-db31-4365-90b4-c327060f97ae', 'pede', null, 'back', null, 'distance_and_time', '1669243105', '1669334400'),
('293a7ec9-4c32-4203-9d76-5286d548fa6a', 'rhoncus aliquet pulvinar', 'maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit', 'glutes', null, 'weights_and_reps', '1669215092', '1669334400'),
('68aff94a-30e3-48a1-b7e7-56ebade1527a', 'ligula', null, 'glutes', null, 'weights_and_reps', '1669209494', '1669334400'),
('bb2c85cd-5213-492d-82f2-be48cba04b39', 'vestibulum ante ipsum', null, 'chest', null, 'weights_and_reps', '1669240665', '1669334400'),
('3e5f3e92-e322-4d7e-b4e9-79cab784a768', 'odio condimentum', 'ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien', '1	abductors', null, 'reps', '1669234428', '1669334400'),
('ac506c62-edf0-4129-b701-0bb63b96b596', 'donec diam neque vestibulum', null, 'forearms', null, 'distance_and_time', '1669201615', '1669334400'),
('226c93c5-eea8-4ea5-80d2-ba2c98e23031', 'elementum nullam', 'parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl', 'biceps', null, 'weights_and_reps', '1669195655', '1669334400'),
('b23b4bb4-3e37-438a-bd68-dfd5783fdcf6', 'aliquam erat', 'quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi', 'traps', null, 'weights_and_reps', '1669163423', '1669334400'),
('3dd704a6-02b2-40df-a919-c557e465f46a', 'ridiculus', null, 'shoulders', null, 'distance_and_time', '1669217246', '1669334400');
